Date,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/5/11,954,27,0,88,16,69,81,168,56,147,969,883,4883,1178,82,221,280,122,56,75,150,73,494,45,97,352,1744,693,90,62,3,24,24,165,37,5,28,48,74,654,45,17,48,60,17,11,142
2020/5/27,1066,27,0,88,16,69,81,168,65,149,1000,905,5180,1341,83,227,296,122,60,76,150,75,507,45,100,358,1782,699,92,63,3,24,25,167,37,5,28,81,74,674,47,17,48,60,17,10,142
2020/6/11,1137,27,0,88,16,69,81,168,66,151,1017,915,5448,1399,83,227,299,122,68,76,153,77,513,45,100,360,1785,699,92,63,3,24,25,168,37,5,28,82,74,810,47,17,48,60,17,10,142
2020/6/27,1221,27,0,92,16,69,82,172,69,152,1101,946,6054,1455,84,227,300,122,72,77,156,80,523,46,101,366,1814,705,92,64,3,24,26,168,37,6,28,82,74,844,47,17,49,60,17,11,142
2020/7/11,1289,29,0,100,16,71,83,196,93,155,1431,1088,7721,1720,87,230,300,122,76,77,162,92,528,47,104,420,1967,726,114,75,4,24,28,176,37,10,29,82,74,908,47,19,49,60,18,132,148
2020/7/27,1391,31,0,142,18,75,86,244,163,179,2091,1499,11345,2253,94,236,313,129,88,92,240,200,1096,70,155,657,3188,1014,209,130,6,28,64,261,50,16,45,87,79,1432,67,53,100,60,73,216,192
2020/8/11,1565,32,7,182,35,76,98,406,249,238,2956,2224,16252,3305,128,293,390,154,132,134,475,376,3239,249,302,991,5994,1662,339,184,21,126,115,415,78,61,60,107,83,3084,162,170,361,93,241,277,1242
2020/8/27,1734,35,19,192,48,77,146,532,295,426,3750,2922,20096,4667,140,368,605,190,172,200,551,469,4323,354,428,1374,8233,2187,506,228,22,137,143,453,141,124,74,114,118,4282,229,219,491,144,330,351,2013
2020/9/11,1860,35,23,275,50,78,200,606,328,517,4227,3339,22631,5823,147,408,724,244,179,296,574,504,4787,450,468,1607,9444,2421,544,236,22,137,146,464,194,146,87,114,137,4893,244,234,564,158,339,372,2269
2020/9/27,2039,35,23,389,53,78,247,638,427,699,4582,3805,25257,6744,170,412,776,244,180,305,616,526,5241,494,495,1710,10447,2658,562,240,36,140,153,516,198,147,93,114,138,5023,245,236,572,158,344,400,2427
2020/10/11,2347,37,24,484,59,81,314,709,445,759,5082,4311,27715,7508,179,422,780,249,196,320,634,565,5525,537,514,1809,11154,2893,599,249,36,140,163,627,209,149,94,115,139,5101,248,239,690,158,344,447,2740
2020/10/27,2854,195,27,610,61,86,387,744,480,874,5682,4880,30285,8453,182,422,800,256,206,334,672,605,5906,555,543,1981,12231,3147,626,272,37,141,215,656,213,164,101,116,143,5189,254,244,774,159,367,463,3217
2020/11/11,4387,275,33,892,68,92,419,854,505,937,6479,5499,33377,9604,216,425,825,268,257,393,765,787,7052,603,636,2187,14376,3596,771,298,51,141,348,680,233,170,108,117,144,5328,275,249,866,162,373,542,3597
2020/11/27,8022,287,179,1168,89,116,490,1442,607,1148,8104,6751,39649,12112,326,453,846,312,336,670,1014,1447,9398,797,773,2585,19167,5211,1087,428,58,145,568,785,372,181,135,296,149,5644,300,265,999,255,477,607,4169
2020/12/11,10805,364,252,1417,90,218,582,1935,839,1572,10101,7958,46124,14599,380,462,899,331,440,909,1406,2087,12123,1028,852,3076,24192,6994,1433,545,67,165,702,1322,429,187,198,356,312,6343,371,290,1184,490,584,741,4735
2020/12/26,12876,422,363,1983,123,361,865,2280,1207,2134,13029,10113,55851,19173,503,538,1022,345,509,1105,1978,2539,15183,1211,1062,4105,28694,8989,1843,594,84,194,1245,2815,516,195,273,407,618,7995,443,457,1669,617,695,920,5169
2021/1/11,14852,567,432,2640,174,434,1253,3207,2616,2908,18174,14558,76163,28036,679,716,1233,399,676,1682,3087,3376,19420,1586,1570,5518,34932,12088,2388,777,165,227,1859,4068,719,230,441,689,734,11346,608,1016,2429,838,1327,1245,5944
2021/1/26,16863,691,489,3287,251,463,1653,4459,3615,3649,23848,20877,95534,38773,856,848,1437,496,887,2216,4038,4338,22926,2057,2026,7759,42070,15467,2906,1011,197,245,2267,4647,1151,371,599,954,828,15213,924,1419,3262,1079,1760,1543,7139
2021/2/11,18327,794,519,3488,269,531,1805,5293,3927,4200,27345,24261,105458,42897,986,884,1621,528,918,2345,4524,4801,24936,2361,2284,8798,45618,17324,3238,1129,207,280,2428,4915,1344,419,713,1026,868,17066,993,1569,3392,1249,1906,1685,7944
2021/2/26,19023,816,553,3585,269,542,1919,5710,4078,4459,29132,26112,111010,44607,1070,905,1841,544,939,2363,4711,5100,25737,2509,2444,9046,47000,17898,3353,1161,210,284,2478,5019,1377,450,747,1061,884,17955,1052,1609,3439,1289,1951,1758,8159
2021/3/11,19734,836,557,3905,269,553,2160,6107,4224,4644,30489,27619,114536,46082,1162,909,1879,546,941,2389,4786,5356,26251,2587,2625,9156,47983,18276,3432,1171,210,284,2563,5057,1389,462,764,1070,906,18357,1130,1613,3467,1297,1953,1762,8407
2021/3/26,20680,929,601,5284,281,786,2415,6567,4504,4913,32229,29149,119231,47579,1364,930,1900,568,956,2651,4891,5593,26961,2685,2725,9337,50248,19230,3590,1239,211,286,2642,5101,1403,504,780,1232,914,18853,1164,1625,3495,1304,1953,1790,9077
